Date,BoardNo,SpotPrice,FuturePrice
0,0,2892,-1
0,0,2885,-1
0,0,2925,-1
0,0,2900,-1
0,0,2838,-1
0,0,2809,-1
0,0,2731,-1
0,0,2719,-1
0,0,2674,-1
0,0,2707,-1
0,0,2668,-1
0,0,2707,-1
0,0,2704,-1
0,0,2722,-1
0,0,2782,-1
0,0,2800,-1
0,0,2866,-1
0,0,2861,-1
0,0,2857,-1
0,0,2834,-1
0,0,2810,-1
0,0,2830,-1
0,0,2819,-1
0,0,2775,-1
0,0,2723,-1
0,0,2719,-1
0,0,2765,-1
0,0,2817,-1
0,0,2868,-1
0,0,2851,-1
0,0,2827,-1
0,0,2820,-1
0,0,2879,-1
0,0,2895,-1
0,0,2912,-1
0,0,2901,-1
0,0,2935,-1
0,0,2911,-1
0,0,2905,-1
0,0,2880,-1
0,0,2899,-1
0,0,2928,-1
0,0,2911,-1
0,0,2890,-1
0,0,2839,-1
0,0,2857,-1
0,0,2881,-1
0,0,2824,-1
0,0,2830,-1
0,0,2801,-1
0,0,2757,-1
0,0,2762,-1
0,0,2750,-1
0,0,2697,-1
0,0,2639,-1
0,0,2621,-1
0,0,2683,-1
0,0,2699,-1
0,0,2635,-1
0,0,2634,-1
0,0,2667,-1
0,0,2636,-1
0,0,2672,-1
0,0,2662,-1
0,0,2673,-1
0,0,2692,-1
0,0,2716,-1
0,0,2726,-1
0,0,2693,-1
0,0,2713,-1
0,0,2673,-1
0,0,2742,-1
0,0,2739,-1
0,0,2778,-1
0,0,2818,-1
0,0,2863,-1
0,0,2856,-1
0,0,2816,-1
0,0,2810,-1
0,0,2789,-1
0,0,2781,-1
0,0,2742,-1
0,0,2733,-1
0,0,2716,-1
0,0,2750,-1
0,0,2688,-1
0,0,2674,-1
0,0,2698,-1
0,0,2702,-1
0,0,2676,-1
0,0,2687,-1
0,0,2743,-1
0,0,2718,-1
0,0,2636,-1
0,0,2665,-1
0,0,2654,-1
0,0,2621,-1
0,0,2604,-1
0,0,2624,-1
0,0,2650,-1
0,0,2652,-1
0,0,2691,-1
0,0,2683,-1
0,0,2665,-1
0,0,2637,-1
0,0,2585,-1
0,0,2591,-1
0,0,2555,-1
0,0,2585,-1
0,0,2556,-1
0,0,2478,-1
0,0,2468,-1
0,0,2533,-1
0,0,2516,-1
0,0,2524,-1
0,0,2473,-1
0,0,2476,-1
0,0,2430,-1
0,0,2410,-1
0,0,2423,-1
0,0,2474,-1
0,0,2472,-1
0,0,2561,-1
0,0,2556,-1
0,0,2566,-1
0,0,2510,-1
0,0,2498,-1
0,0,2444,-1
0,0,2443,-1
0,0,2466,-1
0,0,2431,-1
0,0,2424,-1
0,0,2421,-1
0,0,2401,-1
0,0,2383,-1
0,0,2385,-1
0,0,2453,-1
0,0,2443,-1
0,0,2417,-1
0,0,2441,-1
0,0,2472,-1
0,0,2492,-1
0,0,2449,-1
0,0,2481,-1
0,0,2453,-1
0,0,2449,-1
0,0,2502,-1
0,0,2519,-1
0,0,2528,-1
0,0,2487,-1
0,0,2425,-1
0,0,2413,-1
0,0,2355,-1
0,0,2319,-1
0,0,2237,-1
0,0,2237,-1
0,0,2321,-1
0,0,2334,-1
0,0,2330,-1
0,0,2324,-1
0,0,2297,-1
0,0,2281,-1
0,0,2311,-1
0,0,2268,-1
0,0,2238,-1
0,0,2200,-1
0,0,2224,-1
0,0,2251,-1
0,0,2264,-1
0,0,2277,-1
0,0,2312,-1
0,0,2331,-1
0,0,2338,-1
0,0,2330,-1
0,0,2315,-1
0,0,2300,-1
0,0,2282,-1
0,0,2307,-1
0,0,2304,-1
0,0,2307,-1
0,0,2296,-1
0,0,2283,-1
0,0,2230,-1
0,0,2211,-1
0,0,2227,-1
0,0,2189,-1
