Date,BoardNo,SpotPrice,FuturePrice
0,0,3223,-1
0,0,3195,-1
0,0,3196,-1
0,0,3163,-1
0,0,3162,-1
0,0,3145,-1
0,0,3155,-1
0,0,3186,-1
0,0,3193,-1
0,0,3211,-1
0,0,3234,-1
0,0,3223,-1
0,0,3272,-1
0,0,3287,-1
0,0,3285,-1
0,0,3277,-1
0,0,3292,-1
0,0,3287,-1
0,0,3280,-1
0,0,3269,-1
0,0,3253,-1
0,0,3240,-1
0,0,3250,-1
0,0,3258,-1
0,0,3235,-1
0,0,3221,-1
0,0,3206,-1
0,0,3203,-1
0,0,3179,-1
0,0,3140,-1
0,0,2964,-1
0,0,3010,-1
0,0,3026,-1
0,0,3011,-1
0,0,3017,-1
0,0,3125,-1
0,0,3108,-1
0,0,3123,-1
0,0,3100,-1
0,0,3089,-1
0,0,3111,-1
0,0,3083,-1
0,0,3048,-1
0,0,3016,-1
0,0,3048,-1
0,0,3052,-1
0,0,3023,-1
0,0,2998,-1
0,0,2963,-1
0,0,3003,-1
0,0,2992,-1
0,0,3016,-1
0,0,3017,-1
0,0,2971,-1
0,0,2912,-1
0,0,2801,-1
0,0,2842,-1
0,0,2769,-1
0,0,2827,-1
0,0,2839,-1
0,0,2840,-1
0,0,2825,-1
0,0,2770,-1
0,0,2793,-1
0,0,2726,-1
0,0,2746,-1
0,0,2707,-1
0,0,2777,-1
0,0,2725,-1
0,0,2708,-1
0,0,2688,-1
0,0,2650,-1
0,0,2635,-1
0,0,2624,-1
0,0,2682,-1
0,0,2780,-1
0,0,2743,-1
0,0,2752,-1
0,0,2689,-1
0,0,2563,-1
0,0,2605,-1
0,0,2647,-1
0,0,2635,-1
0,0,2619,-1
0,0,2693,-1
0,0,2711,-1
0,0,2724,-1
0,0,2739,-1
0,0,2674,-1
0,0,2717,-1
0,0,2704,-1
0,0,2729,-1
0,0,2773,-1
0,0,2828,-1
0,0,2800,-1
0,0,2818,-1
0,0,2804,-1
0,0,2813,-1
0,0,2801,-1
0,0,2801,-1
0,0,2848,-1
0,0,2850,-1
0,0,2826,-1
0,0,2804,-1
0,0,2743,-1
0,0,2736,-1
0,0,2768,-1
0,0,2731,-1
0,0,2745,-1
0,0,2718,-1
0,0,2690,-1
0,0,2631,-1
0,0,2652,-1
0,0,2661,-1
0,0,2596,-1
0,0,2615,-1
0,0,2595,-1
0,0,2627,-1
0,0,2572,-1
0,0,2599,-1
0,0,2641,-1
0,0,2649,-1
0,0,2610,-1
0,0,2613,-1
0,0,2573,-1
0,0,2507,-1
0,0,2468,-1
0,0,2433,-1
0,0,2443,-1
0,0,2477,-1
0,0,2450,-1
0,0,2450,-1
0,0,2444,-1
0,0,2491,-1
0,0,2487,-1
0,0,2544,-1
0,0,2524,-1
0,0,2459,-1
0,0,2436,-1
0,0,2417,-1
0,0,2419,-1
0,0,2414,-1
0,0,2459,-1
0,0,2471,-1
0,0,2542,-1
0,0,2702,-1
0,0,2707,-1
0,0,2764,-1
0,0,2767,-1
0,0,2750,-1
0,0,2752,-1
0,0,2807,-1
0,0,2762,-1
0,0,2737,-1
0,0,2742,-1
0,0,2764,-1
0,0,2765,-1
0,0,2691,-1
0,0,2731,-1
0,0,2770,-1
0,0,2774,-1
0,0,2779,-1
0,0,2726,-1
0,0,2786,-1
0,0,2815,-1
0,0,2790,-1
0,0,2769,-1
0,0,2806,-1
0,0,2798,-1
0,0,2788,-1
0,0,2798,-1
0,0,2819,-1
0,0,2908,-1
0,0,3026,-1
0,0,3024,-1
0,0,3005,-1
0,0,2978,-1
0,0,2979,-1
0,0,2955,-1
0,0,2986,-1
0,0,2961,-1
0,0,2974,-1
0,0,3022,-1
0,0,2997,-1
0,0,3019,-1
0,0,3020,-1
0,0,2958,-1
0,0,2965,-1
0,0,2936,-1
0,0,2936,-1
0,0,3046,-1
0,0,3081,-1
0,0,3078,-1
0,0,3102,-1
0,0,3126,-1
0,0,3053,-1
0,0,3079,-1
0,0,3033,-1
0,0,3005,-1
0,0,2952,-1
0,0,2927,-1
0,0,2986,-1
0,0,3043,-1
0,0,3003,-1
0,0,2985,-1
0,0,2956,-1
0,0,3023,-1
0,0,3024,-1
0,0,3036,-1
0,0,3084,-1
0,0,3029,-1
0,0,2981,-1
0,0,2995,-1
0,0,2980,-1
0,0,3002,-1
0,0,2986,-1
0,0,2982,-1
0,0,2992,-1
0,0,3026,-1
0,0,3026,-1
0,0,3002,-1
0,0,2995,-1
0,0,2954,-1
0,0,2889,-1
0,0,2918,-1
0,0,2942,-1
0,0,2912,-1
0,0,3004,-1
0,0,3006,-1
0,0,3003,-1
0,0,2977,-1
0,0,2970,-1
0,0,2973,-1
0,0,2964,-1
0,0,2967,-1
0,0,2947,-1
0,0,2989,-1
0,0,3025,-1
0,0,3063,-1
0,0,3064,-1
0,0,3039,-1
0,0,3035,-1
0,0,3090,-1
