Date,BoardNo,SpotPrice,FuturePrice
0,0,3355,-1
0,0,3339,-1
0,0,3330,-1
0,0,3370,-1
0,0,3433,-1
0,0,3444,-1
0,0,3503,-1
0,0,3539,-1
0,0,3621,-1
0,0,3620,-1
0,0,3536,-1
0,0,3523,-1
0,0,3528,-1
0,0,3534,-1
0,0,3560,-1
0,0,3576,-1
0,0,3547,-1
0,0,3590,-1
0,0,3619,-1
0,0,3658,-1
0,0,3633,-1
0,0,3607,-1
0,0,3594,-1
0,0,3580,-1
0,0,3546,-1
0,0,3526,-1
0,0,3519,-1
0,0,3527,-1
0,0,3542,-1
0,0,3557,-1
0,0,3575,-1
0,0,3550,-1
0,0,3554,-1
0,0,3551,-1
0,0,3561,-1
0,0,3574,-1
0,0,3627,-1
0,0,3646,-1
0,0,3630,-1
0,0,3668,-1
0,0,3621,-1
0,0,3646,-1
0,0,3644,-1
0,0,3637,-1
0,0,3662,-1
0,0,3671,-1
0,0,3650,-1
0,0,3675,-1
0,0,3679,-1
0,0,3650,-1
0,0,3658,-1
0,0,3681,-1
0,0,3712,-1
0,0,3744,-1
0,0,3787,-1
0,0,3804,-1
0,0,3743,-1
0,0,3737,-1
0,0,3750,-1
